person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Round,0.369,0.371,Open
1,Round,0.343,0.343,Open
1,Round,0.347,0.345,Open
1,Round,0.211,0.205,Close
1,Round,0.226,0.218,Open
1,Round,0.230,0.221,Open
1,Round,0.232,0.223,Open
1,Round,0.301,0.293,Open
1,Round,0.302,0.293,Open
1,Round,0.389,0.379,Open
1,Round,0.378,0.373,Open
1,Round,0.396,0.387,Open
1,Round,0.399,0.389,Open
1,Round,0.424,0.414,Open
1,Round,0.417,0.410,Open
1,Round,0.411,0.403,Open
1,Round,0.405,0.398,Open
1,Round,0.404,0.400,Open
1,Round,0.407,0.403,Open
1,Round,0.431,0.419,Open
1,Round,0.430,0.418,Open
1,Round,0.401,0.396,Open
1,Round,0.396,0.393,Open
1,Round,0.401,0.393,Open
1,Round,0.402,0.393,Open
1,Round,0.409,0.406,Open
1,Round,0.406,0.406,Open
1,Round,0.398,0.390,Open
1,Round,0.406,0.396,Open
1,Round,0.411,0.403,Open
1,Round,0.411,0.404,Open
1,Round,0.413,0.403,Open
1,Round,0.419,0.407,Open
1,Round,0.413,0.404,Open
1,Round,0.411,0.402,Open
1,Round,0.400,0.389,Open
1,Round,0.403,0.394,Open
1,Round,0.394,0.393,Open
1,Round,0.392,0.389,Open
1,Round,0.404,0.396,Open
1,Round,0.402,0.395,Open
1,Round,0.428,0.419,Open
1,Round,0.428,0.418,Open
1,Round,0.412,0.405,Open
1,Round,0.410,0.402,Open
1,Round,0.410,0.400,Open
1,Round,0.405,0.398,Open
1,Round,0.388,0.380,Open
1,Round,0.399,0.387,Open
1,Round,0.405,0.399,Open
1,Round,0.411,0.401,Open
1,Round,0.400,0.388,Open
1,Round,0.400,0.390,Open
1,Round,0.383,0.376,Open
1,Round,0.383,0.375,Open
1,Round,0.380,0.370,Open
1,Round,0.384,0.375,Open
1,Round,0.399,0.390,Open
1,Round,0.387,0.379,Open
1,Round,0.393,0.380,Open
1,Round,0.393,0.379,Open
1,Round,0.400,0.389,Open
1,Round,0.392,0.381,Open
1,Round,0.387,0.375,Open
1,Round,0.383,0.375,Open
1,Round,0.382,0.372,Open
1,Round,0.384,0.373,Open
1,Round,0.384,0.371,Open
1,Round,0.384,0.372,Open
1,Round,0.389,0.380,Open
1,Round,0.394,0.387,Open
1,Round,0.391,0.380,Open
1,Round,0.388,0.376,Open
1,Round,0.397,0.386,Open
1,Round,0.391,0.379,Open
1,Round,0.401,0.385,Open
1,Round,0.400,0.384,Open
1,Round,0.379,0.373,Open
1,Round,0.378,0.371,Open
1,Round,0.387,0.382,Open
1,Round,0.390,0.385,Open
1,Round,0.389,0.380,Open
1,Round,0.388,0.378,Open
1,Round,0.366,0.359,Open
1,Round,0.372,0.364,Open
1,Round,0.385,0.376,Open
1,Round,0.389,0.381,Open
1,Round,0.395,0.392,Open
1,Round,0.394,0.389,Open
1,Round,0.394,0.381,Open
1,Round,0.395,0.382,Open
1,Round,0.386,0.376,Open
1,Round,0.384,0.373,Open
1,Round,0.382,0.375,Open
1,Round,0.387,0.378,Open
1,Round,0.380,0.370,Open
1,Round,0.378,0.370,Open
1,Round,0.396,0.385,Open
1,Round,0.392,0.379,Open
