person_id,eye_type,ear_value_left,ear_value_right
1,Almond,0.209,0.208
1,Almond,0.191,0.189
1,Almond,0.221,0.215
1,Almond,0.210,0.206
1,Round,0.291,0.278
1,Round,0.290,0.277
1,Round,0.304,0.293
1,Round,0.301,0.288
1,Round,0.320,0.305
1,Round,0.320,0.305
1,Round,0.306,0.290
1,Round,0.291,0.278
1,Almond,0.218,0.216
1,Almond,0.205,0.202
1,Almond,0.204,0.201
1,Almond,0.224,0.221
1,Round,0.332,0.316
1,Round,0.350,0.333
1,Round,0.358,0.337
1,Round,0.360,0.341
1,Round,0.365,0.342
1,Round,0.343,0.322
1,Almond,0.224,0.213
1,Almond,0.196,0.180
1,Almond,0.232,0.204
1,Almond,0.228,0.201
1,Round,0.280,0.246
1,Round,0.354,0.300
1,Round,0.403,0.330
1,Round,0.407,0.330
1,Round,0.430,0.339
1,Round,0.444,0.347
1,Round,0.439,0.347
1,Round,0.442,0.347
1,Round,0.437,0.344
1,Round,0.438,0.345
1,Round,0.434,0.341
1,Round,0.447,0.353
1,Round,0.434,0.343
1,Round,0.424,0.335
1,Round,0.435,0.344
1,Round,0.431,0.340
1,Round,0.436,0.347
1,Round,0.426,0.338
1,Round,0.447,0.350
1,Round,0.437,0.345
1,Round,0.432,0.341
1,Round,0.322,0.252
1,Round,0.305,0.239
1,Round,0.304,0.240
1,Round,0.314,0.253
1,Round,0.344,0.281
1,Round,0.378,0.305
1,Round,0.403,0.327
1,Round,0.402,0.323
1,Round,0.405,0.325
1,Round,0.411,0.327
1,Round,0.422,0.335
1,Round,0.422,0.336
1,Round,0.416,0.329
1,Round,0.425,0.341
1,Round,0.414,0.333
1,Round,0.421,0.336
1,Round,0.430,0.341
1,Round,0.410,0.332
1,Round,0.428,0.344
1,Round,0.423,0.342
1,Round,0.425,0.343
1,Round,0.421,0.340
1,Round,0.433,0.346
1,Round,0.429,0.342
1,Round,0.433,0.345
1,Round,0.422,0.339
1,Round,0.331,0.266
1,Round,0.306,0.244
1,Round,0.281,0.230
1,Round,0.336,0.276
1,Round,0.352,0.293
1,Round,0.361,0.297
1,Round,0.388,0.316
1,Round,0.403,0.329
1,Round,0.411,0.332
1,Round,0.422,0.341
1,Round,0.410,0.332
1,Round,0.428,0.345
1,Round,0.420,0.339
1,Round,0.432,0.346
1,Round,0.426,0.343
1,Round,0.440,0.352
1,Round,0.427,0.345
1,Round,0.420,0.340
1,Round,0.434,0.352
1,Round,0.430,0.342
1,Round,0.442,0.352
1,Round,0.433,0.343
1,Round,0.409,0.331
1,Round,0.399,0.330
1,Round,0.383,0.324
1,Round,0.376,0.322
1,Round,0.377,0.328
1,Round,0.368,0.321
1,Round,0.358,0.316
1,Round,0.360,0.320
1,Round,0.360,0.325
1,Round,0.347,0.313
1,Round,0.359,0.323
1,Round,0.361,0.327
1,Round,0.349,0.313
1,Round,0.333,0.301
1,Round,0.312,0.288
1,Almond,0.236,0.214
1,Almond,0.203,0.186
1,Almond,0.209,0.195
1,Round,0.253,0.239
1,Round,0.316,0.295
1,Round,0.333,0.309
1,Round,0.352,0.334
1,Round,0.352,0.333
1,Round,0.369,0.349
1,Round,0.371,0.350
1,Round,0.355,0.335
1,Round,0.365,0.344
1,Round,0.371,0.350
1,Round,0.364,0.347
1,Round,0.358,0.341
1,Round,0.372,0.351
1,Round,0.372,0.354
1,Round,0.372,0.356
1,Round,0.369,0.353
1,Round,0.369,0.354
1,Round,0.369,0.354
1,Round,0.360,0.346
1,Round,0.323,0.309
1,Almond,0.200,0.197
1,Almond,0.202,0.201
1,Almond,0.205,0.202
1,Round,0.254,0.248
1,Round,0.302,0.298
1,Round,0.309,0.302
1,Round,0.322,0.312
1,Round,0.317,0.307
1,Round,0.324,0.313
1,Round,0.318,0.309
1,Round,0.321,0.311
1,Round,0.327,0.314
1,Round,0.330,0.317
1,Round,0.328,0.317
1,Round,0.270,0.262
1,Almond,0.209,0.207
1,Almond,0.197,0.197
1,Almond,0.212,0.214
1,Almond,0.224,0.220
1,Round,0.270,0.260
1,Round,0.303,0.292
1,Round,0.308,0.293
1,Round,0.326,0.313
1,Round,0.334,0.317
1,Round,0.370,0.355
1,Round,0.405,0.385
1,Round,0.417,0.396
1,Round,0.414,0.391
1,Round,0.416,0.392
1,Round,0.416,0.395
1,Round,0.414,0.396
1,Round,0.417,0.396
1,Round,0.419,0.400
1,Round,0.417,0.395
1,Round,0.419,0.399
1,Round,0.432,0.410
1,Round,0.429,0.407
1,Round,0.419,0.399
1,Round,0.430,0.411
1,Round,0.369,0.357
1,Round,0.272,0.262
1,Almond,0.222,0.218
1,Round,0.254,0.247
1,Round,0.321,0.309
1,Round,0.338,0.323
1,Round,0.369,0.351
1,Round,0.357,0.345
1,Round,0.363,0.349
1,Round,0.356,0.343
1,Round,0.347,0.338
1,Round,0.323,0.304
1,Round,0.309,0.295
1,Round,0.322,0.309
1,Round,0.325,0.317
1,Round,0.337,0.323
1,Round,0.331,0.317
1,Round,0.320,0.299
1,Round,0.303,0.284
1,Round,0.325,0.311
1,Round,0.297,0.281
1,Almond,0.201,0.198
1,Almond,0.171,0.167
1,Almond,0.179,0.175
1,Almond,0.206,0.196
1,Almond,0.242,0.236
1,Round,0.265,0.255
1,Round,0.280,0.271
1,Round,0.290,0.277
1,Round,0.292,0.275
1,Round,0.292,0.278
1,Round,0.299,0.282
1,Round,0.305,0.289
1,Round,0.314,0.297
1,Round,0.309,0.292
1,Round,0.308,0.292
1,Round,0.313,0.295
1,Round,0.317,0.298
1,Round,0.330,0.314
1,Round,0.322,0.305
1,Round,0.319,0.305
1,Round,0.313,0.294
1,Round,0.265,0.251
1,Almond,0.202,0.196
1,Almond,0.212,0.204
1,Almond,0.211,0.203
1,Almond,0.220,0.212
1,Round,0.265,0.254
1,Round,0.302,0.286
1,Round,0.313,0.300
1,Round,0.326,0.313
1,Round,0.335,0.321
1,Round,0.316,0.303
1,Round,0.311,0.296
1,Round,0.318,0.306
1,Round,0.320,0.304
1,Round,0.321,0.305
1,Round,0.316,0.303
1,Round,0.318,0.305
1,Round,0.310,0.297
1,Round,0.305,0.292
1,Round,0.310,0.301
1,Round,0.315,0.304
1,Round,0.321,0.305
1,Round,0.314,0.297
1,Round,0.288,0.273
1,Almond,0.212,0.202
1,Almond,0.214,0.204
1,Almond,0.202,0.194
1,Almond,0.206,0.200
1,Almond,0.234,0.226
1,Round,0.266,0.252
1,Round,0.293,0.278
1,Round,0.295,0.280
1,Round,0.306,0.292
1,Round,0.312,0.300
1,Round,0.300,0.287
1,Round,0.302,0.292
1,Round,0.307,0.296
1,Round,0.322,0.309
1,Round,0.326,0.310
1,Round,0.320,0.303
1,Round,0.330,0.314
1,Round,0.328,0.312
1,Round,0.333,0.318
1,Round,0.345,0.329
1,Round,0.334,0.321
1,Round,0.335,0.321
1,Round,0.337,0.323
1,Round,0.338,0.322
1,Round,0.337,0.323
1,Round,0.337,0.323
1,Round,0.338,0.323
1,Round,0.329,0.315
1,Round,0.332,0.316
1,Round,0.346,0.331
1,Round,0.352,0.336
1,Round,0.347,0.331
1,Round,0.332,0.317
1,Round,0.331,0.316
1,Almond,0.240,0.233
1,Almond,0.186,0.188
1,Almond,0.201,0.201
1,Almond,0.226,0.223
1,Round,0.263,0.253
1,Round,0.293,0.281
1,Round,0.308,0.297
1,Round,0.303,0.294
1,Round,0.319,0.308
1,Round,0.322,0.309
1,Round,0.330,0.315
1,Round,0.363,0.341
1,Round,0.373,0.352
1,Round,0.373,0.354
1,Round,0.379,0.361
1,Round,0.377,0.356
1,Round,0.371,0.350
1,Round,0.365,0.344
1,Round,0.362,0.337
1,Round,0.377,0.346
1,Round,0.382,0.349
1,Round,0.389,0.352
1,Round,0.382,0.343
1,Round,0.345,0.310
1,Round,0.345,0.305
1,Round,0.353,0.311
1,Round,0.357,0.315
1,Round,0.361,0.310
1,Round,0.364,0.312
1,Round,0.376,0.319
1,Round,0.362,0.305
1,Round,0.273,0.225
1,Round,0.266,0.214
1,Round,0.293,0.234
1,Round,0.331,0.267
1,Round,0.354,0.283
1,Round,0.396,0.320
1,Round,0.427,0.339
1,Round,0.492,0.364
1,Round,0.562,0.389
1,Round,0.625,0.416
1,Round,0.646,0.412
1,Round,0.680,0.433
1,Round,0.687,0.423
1,Round,0.704,0.429
1,Round,0.742,0.441
1,Round,0.736,0.440
1,Round,0.745,0.445
1,Round,0.743,0.444
1,Round,0.724,0.438
1,Round,0.753,0.443
1,Round,0.719,0.434
1,Round,0.712,0.425
1,Round,0.717,0.436
1,Round,0.734,0.440
1,Round,0.758,0.446
1,Round,0.737,0.443
1,Round,0.729,0.427
1,Round,0.750,0.435
1,Round,0.705,0.423
1,Round,0.708,0.419
1,Round,0.630,0.375
1,Round,0.571,0.340
1,Round,0.538,0.329
1,Round,0.602,0.378
1,Round,0.640,0.400
