person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.392,0.358
1,Round,0.374,0.338
1,Round,0.386,0.351
1,Round,0.376,0.345
1,Round,0.382,0.352
1,Round,0.375,0.343
1,Round,0.380,0.353
1,Round,0.418,0.378
1,Round,0.396,0.360
1,Round,0.387,0.352
1,Round,0.392,0.355
1,Round,0.393,0.360
1,Round,0.377,0.346
1,Round,0.398,0.361
1,Round,0.401,0.365
1,Round,0.395,0.358
1,Round,0.402,0.369
1,Round,0.394,0.357
1,Round,0.340,0.310
1,Round,0.331,0.301
1,Round,0.342,0.320
1,Round,0.343,0.320
1,Round,0.372,0.343
1,Round,0.382,0.352
1,Round,0.391,0.362
1,Round,0.408,0.373
1,Round,0.396,0.363
1,Round,0.387,0.357
1,Round,0.405,0.367
1,Round,0.383,0.353
1,Round,0.402,0.368
1,Round,0.387,0.355
1,Round,0.396,0.368
1,Round,0.385,0.356
1,Round,0.385,0.358
1,Round,0.401,0.367
1,Round,0.400,0.366
1,Round,0.405,0.370
1,Round,0.397,0.364
1,Round,0.399,0.366
1,Round,0.400,0.368
1,Round,0.411,0.374
1,Round,0.395,0.366
1,Round,0.412,0.378
1,Round,0.400,0.369
1,Round,0.403,0.368
1,Round,0.359,0.333
1,Round,0.333,0.303
1,Round,0.327,0.301
1,Round,0.335,0.304
1,Round,0.347,0.323
1,Round,0.380,0.352
1,Round,0.375,0.348
1,Round,0.382,0.352
1,Round,0.374,0.344
1,Round,0.384,0.357
1,Round,0.378,0.349
1,Round,0.388,0.357
1,Round,0.394,0.359
1,Round,0.391,0.356
1,Round,0.389,0.356
1,Round,0.398,0.364
1,Round,0.386,0.355
1,Round,0.387,0.361
1,Round,0.402,0.377
1,Round,0.400,0.390
1,Round,0.380,0.385
1,Round,0.371,0.383
1,Round,0.375,0.413
1,Round,0.371,0.403
1,Round,0.374,0.425
1,Round,0.359,0.428
1,Round,0.355,0.442
1,Round,0.368,0.467
1,Round,0.384,0.513
1,Round,0.390,0.529
1,Round,0.394,0.532
1,Round,0.371,0.505
1,Round,0.369,0.501
1,Round,0.378,0.508
1,Round,0.376,0.514
1,Round,0.308,0.433
1,Round,0.287,0.406
1,Round,0.280,0.393
1,Round,0.298,0.418
1,Round,0.341,0.474
1,Round,0.339,0.467
1,Round,0.336,0.460
1,Round,0.316,0.434
1,Round,0.311,0.431
1,Round,0.320,0.438
1,Round,0.315,0.437
1,Round,0.334,0.464
1,Round,0.333,0.464
1,Round,0.326,0.459
1,Round,0.312,0.442
1,Round,0.304,0.432
1,Round,0.313,0.445
1,Round,0.229,0.337
1,Round,0.227,0.336
1,Round,0.227,0.330
1,Round,0.239,0.355
1,Round,0.244,0.354
1,Round,0.250,0.354
1,Round,0.252,0.367
1,Round,0.227,0.327
1,Round,0.245,0.347
1,Round,0.251,0.352
1,Round,0.236,0.326
1,Round,0.257,0.343
1,Round,0.248,0.329
1,Round,0.257,0.340
1,Round,0.259,0.346
1,Round,0.260,0.341
1,Round,0.255,0.340
1,Round,0.263,0.349
1,Round,0.252,0.328
1,Round,0.246,0.327
1,Round,0.265,0.351
1,Round,0.241,0.321
1,Round,0.253,0.332
1,Round,0.250,0.333
1,Round,0.265,0.355
1,Round,0.259,0.346
1,Round,0.249,0.328
1,Round,0.241,0.320
1,Round,0.245,0.322
1,Round,0.240,0.317
1,Round,0.207,0.265
1,Round,0.211,0.272
1,Round,0.203,0.253
1,Round,0.234,0.291
1,Round,0.229,0.281
1,Round,0.252,0.308
1,Round,0.245,0.302
1,Round,0.261,0.321
1,Round,0.254,0.308
1,Round,0.280,0.338
1,Round,0.293,0.351
1,Round,0.337,0.401
1,Round,0.342,0.414
1,Round,0.298,0.359
1,Round,0.273,0.343
1,Round,0.261,0.331
1,Round,0.256,0.319
1,Round,0.288,0.353
1,Round,0.318,0.387
1,Round,0.328,0.398
1,Round,0.320,0.382
1,Round,0.312,0.373
1,Round,0.304,0.363
1,Round,0.309,0.370
1,Round,0.303,0.359
1,Round,0.298,0.354
1,Round,0.304,0.368
1,Round,0.312,0.373
1,Round,0.298,0.358
1,Round,0.296,0.351
1,Round,0.226,0.275
1,Almond,0.200,0.241
1,Round,0.211,0.256
1,Round,0.236,0.284
1,Round,0.273,0.325
1,Round,0.288,0.335
1,Round,0.286,0.329
1,Round,0.295,0.342
1,Round,0.284,0.329
1,Round,0.304,0.348
1,Round,0.308,0.351
1,Round,0.310,0.348
1,Round,0.318,0.357
1,Round,0.319,0.353
1,Round,0.330,0.362
1,Round,0.342,0.372
1,Round,0.363,0.393
1,Round,0.363,0.396
1,Round,0.378,0.409
1,Round,0.376,0.413
1,Round,0.375,0.413
1,Round,0.383,0.420
1,Round,0.386,0.426
1,Round,0.377,0.415
1,Round,0.379,0.413
1,Round,0.384,0.422
1,Round,0.383,0.425
1,Round,0.347,0.388
1,Round,0.279,0.305
1,Round,0.275,0.303
1,Round,0.279,0.311
1,Round,0.317,0.349
1,Round,0.328,0.363
1,Round,0.349,0.388
1,Round,0.353,0.393
1,Round,0.348,0.382
1,Round,0.363,0.402
1,Round,0.364,0.404
1,Round,0.364,0.401
1,Round,0.371,0.410
1,Round,0.368,0.405
1,Round,0.373,0.412
1,Round,0.373,0.411
1,Round,0.364,0.404
1,Round,0.360,0.404
1,Round,0.351,0.386
1,Round,0.310,0.335
1,Round,0.237,0.257
1,Round,0.256,0.268
1,Round,0.270,0.278
1,Round,0.293,0.284
1,Round,0.342,0.294
1,Round,0.390,0.316
1,Round,0.466,0.357
1,Round,0.490,0.369
1,Round,0.545,0.373
1,Round,0.687,0.428
1,Round,0.732,0.435
1,Round,0.862,0.461
1,Round,0.833,0.430
1,Round,0.815,0.433
1,Round,0.815,0.429
1,Round,0.778,0.417
1,Round,0.730,0.429
1,Round,0.724,0.427
1,Round,0.804,0.451
1,Round,0.770,0.438
1,Round,0.795,0.451
1,Round,0.778,0.460
1,Round,0.807,0.458
1,Round,0.766,0.455
1,Round,0.695,0.433
1,Round,0.673,0.413
1,Round,0.644,0.381
1,Round,0.640,0.392
1,Round,0.673,0.404
1,Round,0.694,0.410
1,Round,0.701,0.426
1,Round,0.706,0.438
1,Round,0.680,0.431
1,Round,0.698,0.440
1,Round,0.691,0.432
1,Round,0.690,0.435
1,Round,0.690,0.430
1,Round,0.686,0.437
1,Round,0.695,0.434
1,Round,0.677,0.438
1,Round,0.666,0.423
1,Round,0.676,0.431
1,Round,0.655,0.425
1,Round,0.633,0.418
1,Round,0.640,0.409
1,Round,0.647,0.405
1,Round,0.667,0.422
1,Round,0.628,0.395
1,Round,0.638,0.376
1,Round,0.587,0.363
1,Round,0.613,0.398
1,Round,0.638,0.401
1,Round,0.678,0.427
1,Round,0.646,0.413
1,Round,0.660,0.410
1,Round,0.655,0.405
1,Round,0.681,0.425
1,Round,0.680,0.430
1,Round,0.695,0.437
1,Round,0.721,0.465
1,Round,0.685,0.431
1,Round,0.703,0.438
1,Round,0.686,0.436
1,Round,0.674,0.423
1,Round,0.690,0.438
1,Round,0.694,0.427
1,Round,0.693,0.440
1,Round,0.636,0.383
1,Round,0.663,0.389
1,Round,0.603,0.361
1,Round,0.634,0.372
1,Round,0.644,0.413
1,Round,0.686,0.435
1,Round,0.678,0.436
1,Round,0.700,0.442
1,Round,0.713,0.452
1,Round,0.705,0.450
1,Round,0.684,0.448
1,Round,0.666,0.439
1,Round,0.666,0.436
1,Round,0.691,0.455
1,Round,0.667,0.433
1,Round,0.676,0.443
1,Round,0.666,0.442
1,Round,0.669,0.444
1,Round,0.668,0.431
1,Round,0.692,0.449
1,Round,0.691,0.449
1,Round,0.680,0.444
1,Round,0.690,0.446
1,Round,0.703,0.449
