person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Almond,0.390,0.376,Open
1,Almond,0.330,0.327,Open
1,Almond,0.407,0.406,Open
1,Almond,0.373,0.403,Open
1,Almond,0.384,0.423,Open
1,Almond,0.431,0.476,Open
1,Almond,0.427,0.469,Open
1,Almond,0.360,0.401,Open
1,Almond,0.380,0.420,Open
1,Almond,0.336,0.369,Open
1,Almond,0.363,0.396,Open
1,Almond,0.361,0.384,Open
1,Almond,0.391,0.421,Open
1,Almond,0.363,0.385,Open
1,Almond,0.380,0.401,Open
1,Almond,0.370,0.379,Open
1,Almond,0.345,0.334,Open
1,Almond,0.365,0.365,Open
1,Almond,0.371,0.376,Open
1,Almond,0.362,0.353,Open
1,Almond,0.380,0.367,Open
1,Almond,0.381,0.360,Open
1,Almond,0.407,0.390,Open
1,Almond,0.402,0.373,Open
1,Almond,0.391,0.358,Open
1,Almond,0.402,0.370,Open
1,Almond,0.403,0.368,Open
1,Almond,0.416,0.375,Open
1,Almond,0.405,0.365,Open
1,Almond,0.423,0.387,Open
1,Almond,0.391,0.346,Open
1,Almond,0.438,0.401,Open
1,Almond,0.405,0.363,Open
1,Almond,0.429,0.383,Open
1,Almond,0.428,0.379,Open
1,Almond,0.449,0.398,Open
1,Almond,0.453,0.402,Open
1,Almond,0.438,0.391,Open
1,Almond,0.453,0.402,Open
1,Almond,0.432,0.382,Open
1,Almond,0.435,0.387,Open
1,Almond,0.346,0.304,Open
1,Almond,0.354,0.313,Open
1,Almond,0.353,0.304,Open
1,Almond,0.359,0.313,Open
1,Almond,0.381,0.337,Open
1,Almond,0.386,0.342,Open
1,Almond,0.378,0.334,Open
1,Almond,0.387,0.342,Open
1,Almond,0.408,0.363,Open
1,Almond,0.387,0.342,Open
1,Almond,0.407,0.360,Open
1,Almond,0.415,0.369,Open
1,Almond,0.416,0.369,Open
1,Almond,0.407,0.361,Open
1,Almond,0.427,0.383,Open
1,Almond,0.409,0.366,Open
1,Almond,0.396,0.361,Open
1,Almond,0.409,0.378,Open
1,Almond,0.396,0.365,Open
1,Almond,0.399,0.364,Open
1,Almond,0.413,0.386,Open
1,Almond,0.424,0.395,Open
1,Almond,0.424,0.389,Open
1,Almond,0.403,0.368,Open
1,Almond,0.407,0.371,Open
1,Almond,0.414,0.381,Open
1,Almond,0.414,0.384,Open
1,Almond,0.421,0.390,Open
1,Almond,0.402,0.368,Open
1,Almond,0.406,0.372,Open
1,Almond,0.332,0.287,Close
1,Almond,0.344,0.296,Open
1,Almond,0.342,0.294,Open
1,Almond,0.355,0.311,Open
1,Almond,0.333,0.293,Close
1,Almond,0.336,0.297,Close
1,Almond,0.374,0.331,Open
1,Almond,0.358,0.312,Open
1,Almond,0.408,0.367,Open
1,Almond,0.381,0.339,Open
1,Almond,0.382,0.341,Open
1,Almond,0.373,0.333,Open
1,Almond,0.382,0.346,Open
1,Almond,0.382,0.347,Open
1,Almond,0.390,0.353,Open
1,Almond,0.387,0.348,Open
1,Almond,0.407,0.367,Open
1,Almond,0.391,0.354,Open
1,Almond,0.405,0.365,Open
1,Almond,0.380,0.343,Open
1,Almond,0.402,0.363,Open
1,Almond,0.393,0.355,Open
1,Almond,0.398,0.360,Open
1,Almond,0.382,0.341,Open
1,Almond,0.401,0.359,Open
1,Almond,0.406,0.367,Open
1,Almond,0.410,0.373,Open
1,Almond,0.391,0.355,Open
1,Almond,0.403,0.367,Open
1,Almond,0.404,0.364,Open
1,Almond,0.406,0.369,Open
1,Almond,0.398,0.357,Open
1,Almond,0.397,0.356,Open
1,Almond,0.421,0.380,Open
1,Almond,0.392,0.352,Open
1,Almond,0.400,0.361,Open
1,Almond,0.395,0.357,Open
1,Almond,0.418,0.382,Open
1,Almond,0.332,0.284,Close
1,Almond,0.370,0.323,Open
1,Almond,0.322,0.282,Close
1,Almond,0.341,0.299,Open
1,Almond,0.328,0.290,Close
1,Almond,0.347,0.307,Open
1,Almond,0.367,0.324,Open
1,Almond,0.364,0.321,Open
1,Almond,0.373,0.331,Open
1,Almond,0.381,0.335,Open
1,Almond,0.392,0.348,Open
1,Almond,0.416,0.376,Open
1,Almond,0.399,0.355,Open
1,Almond,0.410,0.367,Open
1,Almond,0.366,0.326,Open
1,Almond,0.417,0.376,Open
1,Almond,0.389,0.349,Open
1,Almond,0.435,0.394,Open
1,Almond,0.384,0.343,Open
1,Almond,0.426,0.385,Open
1,Almond,0.403,0.360,Open
1,Almond,0.423,0.380,Open
1,Almond,0.414,0.375,Open
1,Almond,0.401,0.362,Open
1,Almond,0.414,0.372,Open
1,Almond,0.393,0.353,Open
1,Almond,0.414,0.375,Open
1,Almond,0.412,0.370,Open
1,Almond,0.404,0.363,Open
1,Almond,0.413,0.373,Open
1,Almond,0.419,0.379,Open
1,Almond,0.422,0.381,Open
1,Almond,0.416,0.376,Open
1,Almond,0.413,0.374,Open
1,Almond,0.424,0.389,Open
1,Almond,0.435,0.398,Open
1,Almond,0.411,0.367,Open
1,Almond,0.426,0.385,Open
1,Almond,0.339,0.296,Close
1,Almond,0.358,0.320,Open
1,Almond,0.353,0.306,Open
1,Almond,0.348,0.308,Open
1,Almond,0.346,0.303,Open
1,Almond,0.350,0.303,Open
1,Almond,0.384,0.344,Open
1,Almond,0.348,0.310,Open
1,Almond,0.409,0.365,Open
1,Almond,0.369,0.324,Open
1,Almond,0.415,0.368,Open
1,Almond,0.404,0.361,Open
1,Almond,0.418,0.373,Open
1,Almond,0.395,0.352,Open
1,Almond,0.405,0.363,Open
1,Almond,0.394,0.352,Open
1,Almond,0.412,0.372,Open
1,Almond,0.423,0.377,Open
1,Almond,0.382,0.340,Open
1,Almond,0.411,0.370,Open
1,Almond,0.370,0.330,Open
1,Almond,0.408,0.366,Open
1,Almond,0.386,0.343,Open
1,Almond,0.422,0.377,Open
1,Almond,0.379,0.335,Open
1,Almond,0.406,0.362,Open
1,Almond,0.384,0.343,Open
1,Almond,0.414,0.368,Open
1,Almond,0.389,0.346,Open
1,Almond,0.401,0.357,Open
1,Almond,0.385,0.343,Open
1,Almond,0.412,0.370,Open
1,Almond,0.378,0.337,Open
1,Almond,0.413,0.370,Open
1,Almond,0.391,0.350,Open
1,Almond,0.407,0.363,Open
1,Almond,0.397,0.358,Open
1,Almond,0.405,0.361,Open
1,Almond,0.371,0.326,Open
1,Almond,0.398,0.351,Open
1,Almond,0.331,0.287,Close
1,Almond,0.350,0.312,Open
1,Almond,0.319,0.279,Close
1,Almond,0.315,0.279,Close
1,Almond,0.340,0.303,Close
1,Almond,0.340,0.297,Close
1,Almond,0.381,0.338,Open
1,Almond,0.393,0.349,Open
1,Almond,0.387,0.346,Open
1,Almond,0.377,0.332,Open
1,Almond,0.390,0.344,Open
1,Almond,0.389,0.343,Open
1,Almond,0.411,0.364,Open
1,Almond,0.375,0.334,Open
1,Almond,0.409,0.365,Open
1,Almond,0.366,0.326,Open
1,Almond,0.421,0.378,Open
1,Almond,0.390,0.347,Open
1,Almond,0.423,0.380,Open
1,Almond,0.378,0.343,Open
1,Almond,0.415,0.375,Open
1,Almond,0.401,0.359,Open
1,Almond,0.420,0.376,Open
1,Almond,0.402,0.361,Open
1,Almond,0.426,0.384,Open
1,Almond,0.404,0.360,Open
1,Almond,0.407,0.367,Open
1,Almond,0.416,0.377,Open
1,Almond,0.412,0.373,Open
1,Almond,0.413,0.374,Open
1,Almond,0.426,0.381,Open
1,Almond,0.399,0.356,Open
1,Almond,0.352,0.305,Open
1,Almond,0.374,0.330,Open
1,Almond,0.333,0.294,Close
1,Almond,0.357,0.314,Open
1,Almond,0.352,0.311,Open
1,Almond,0.406,0.366,Open
1,Almond,0.376,0.338,Open
1,Almond,0.410,0.367,Open
1,Almond,0.333,0.292,Close
1,Almond,0.363,0.319,Open
1,Almond,0.337,0.296,Close
1,Almond,0.325,0.287,Close
1,Almond,0.312,0.278,Close
1,Almond,0.372,0.333,Open
1,Almond,0.369,0.327,Open
1,Almond,0.405,0.362,Open
1,Almond,0.375,0.339,Open
1,Almond,0.412,0.370,Open
1,Almond,0.371,0.331,Open
1,Almond,0.416,0.371,Open
1,Almond,0.405,0.364,Open
1,Almond,0.413,0.369,Open
1,Almond,0.391,0.352,Open
1,Almond,0.421,0.379,Open
1,Almond,0.390,0.349,Open
1,Almond,0.416,0.374,Open
1,Almond,0.399,0.354,Open
1,Almond,0.414,0.371,Open
1,Almond,0.346,0.300,Open
1,Almond,0.359,0.320,Open
1,Almond,0.325,0.285,Close
1,Almond,0.338,0.299,Close
1,Almond,0.361,0.310,Open
1,Almond,0.328,0.289,Close
1,Almond,0.394,0.353,Open
1,Almond,0.341,0.303,Open
1,Almond,0.388,0.345,Open
1,Almond,0.377,0.338,Open
1,Almond,0.389,0.343,Open
1,Almond,0.386,0.344,Open
1,Almond,0.410,0.368,Open
1,Almond,0.380,0.340,Open
1,Almond,0.425,0.381,Open
1,Almond,0.379,0.336,Open
1,Almond,0.424,0.380,Open
1,Almond,0.384,0.339,Open
1,Almond,0.423,0.380,Open
1,Almond,0.392,0.354,Open
1,Almond,0.407,0.366,Open
1,Almond,0.394,0.351,Open
1,Almond,0.342,0.301,Open
1,Almond,0.340,0.304,Close
1,Almond,0.329,0.288,Close
1,Almond,0.339,0.290,Close
1,Almond,0.337,0.298,Close
1,Almond,0.344,0.311,Open
1,Almond,0.385,0.340,Open
1,Almond,0.369,0.323,Open
1,Almond,0.389,0.345,Open
1,Almond,0.379,0.337,Open
1,Almond,0.390,0.346,Open
1,Almond,0.409,0.364,Open
1,Almond,0.416,0.372,Open
1,Almond,0.413,0.369,Open
1,Almond,0.396,0.351,Open
1,Almond,0.409,0.363,Open
1,Almond,0.424,0.381,Open
1,Almond,0.428,0.384,Open
1,Almond,0.420,0.375,Open
1,Almond,0.419,0.375,Open
1,Almond,0.409,0.365,Open
1,Almond,0.442,0.399,Open
1,Almond,0.433,0.387,Open
1,Almond,0.443,0.400,Open
1,Almond,0.434,0.392,Open
1,Almond,0.435,0.391,Open
1,Almond,0.427,0.383,Open
