person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.600,0.361
1,Round,0.576,0.374
1,Round,0.578,0.378
1,Round,0.548,0.364
1,Round,0.628,0.371
1,Round,0.556,0.362
1,Round,0.596,0.382
1,Round,0.623,0.391
1,Round,0.567,0.368
1,Round,0.566,0.363
1,Round,0.489,0.341
1,Round,0.504,0.359
1,Round,0.473,0.316
1,Round,0.428,0.303
1,Round,0.396,0.289
1,Round,0.362,0.269
1,Round,0.351,0.266
1,Round,0.363,0.265
1,Round,0.304,0.252
1,Round,0.305,0.253
1,Round,0.340,0.292
1,Round,0.321,0.278
1,Round,0.342,0.300
1,Round,0.352,0.311
1,Round,0.355,0.317
1,Round,0.361,0.320
1,Round,0.340,0.305
1,Round,0.353,0.313
1,Round,0.367,0.328
1,Round,0.401,0.356
1,Round,0.367,0.332
1,Round,0.392,0.354
1,Round,0.377,0.333
1,Round,0.406,0.368
1,Round,0.386,0.337
1,Round,0.412,0.375
1,Round,0.409,0.362
1,Round,0.429,0.387
1,Round,0.389,0.346
1,Round,0.382,0.346
1,Round,0.344,0.304
1,Round,0.339,0.302
1,Round,0.353,0.314
1,Round,0.359,0.324
1,Round,0.400,0.360
1,Round,0.394,0.355
1,Round,0.421,0.376
1,Round,0.428,0.387
1,Round,0.428,0.382
1,Round,0.422,0.377
1,Round,0.406,0.376
1,Round,0.404,0.372
1,Round,0.418,0.385
1,Round,0.423,0.386
1,Round,0.428,0.386
1,Round,0.434,0.398
1,Round,0.434,0.395
1,Round,0.414,0.371
1,Round,0.406,0.368
1,Round,0.405,0.368
1,Round,0.411,0.380
1,Round,0.407,0.367
1,Round,0.361,0.332
1,Round,0.357,0.319
1,Round,0.351,0.317
1,Round,0.365,0.333
1,Round,0.380,0.349
1,Round,0.373,0.333
1,Round,0.372,0.342
1,Round,0.404,0.369
1,Round,0.449,0.416
1,Round,0.426,0.395
1,Round,0.436,0.399
1,Round,0.442,0.406
1,Round,0.461,0.427
1,Round,0.452,0.419
1,Round,0.479,0.441
1,Round,0.453,0.419
1,Round,0.449,0.414
1,Round,0.466,0.435
1,Round,0.476,0.446
1,Round,0.375,0.340
1,Round,0.370,0.336
1,Round,0.357,0.327
1,Round,0.402,0.370
1,Round,0.376,0.343
1,Round,0.426,0.391
1,Round,0.410,0.373
1,Round,0.439,0.403
1,Round,0.432,0.388
1,Round,0.457,0.416
1,Round,0.442,0.409
1,Round,0.467,0.428
1,Round,0.427,0.387
1,Round,0.453,0.416
1,Round,0.443,0.403
1,Round,0.468,0.432
1,Round,0.457,0.420
1,Round,0.473,0.435
1,Round,0.448,0.407
1,Round,0.456,0.415
1,Round,0.437,0.404
1,Round,0.473,0.435
1,Round,0.459,0.420
1,Round,0.471,0.433
1,Round,0.482,0.441
1,Round,0.448,0.408
1,Round,0.468,0.426
1,Round,0.419,0.385
1,Round,0.459,0.420
1,Round,0.411,0.371
1,Round,0.444,0.402
1,Round,0.370,0.339
1,Round,0.428,0.381
1,Round,0.444,0.394
1,Round,0.346,0.321
1,Round,0.389,0.355
1,Round,0.375,0.345
1,Round,0.387,0.351
1,Round,0.412,0.368
1,Round,0.392,0.361
1,Round,0.427,0.385
1,Round,0.352,0.323
1,Round,0.414,0.375
1,Round,0.391,0.363
