person_id,eye_type,ear_value_left,ear_value_right
1,Almond,0.186,0.188
1,Almond,0.199,0.193
1,Almond,0.201,0.193
1,Almond,0.201,0.193
1,Almond,0.201,0.194
1,Almond,0.202,0.195
1,Almond,0.200,0.193
1,Almond,0.199,0.191
1,Almond,0.158,0.155
1,Almond,0.138,0.137
1,Almond,0.153,0.150
1,Almond,0.167,0.162
1,Almond,0.176,0.171
1,Almond,0.193,0.184
1,Almond,0.193,0.185
1,Almond,0.199,0.189
1,Almond,0.190,0.184
1,Almond,0.199,0.188
1,Almond,0.192,0.185
1,Almond,0.196,0.186
1,Almond,0.193,0.186
1,Almond,0.197,0.188
1,Almond,0.196,0.188
1,Almond,0.191,0.184
1,Almond,0.191,0.183
1,Almond,0.199,0.188
1,Almond,0.196,0.186
1,Almond,0.201,0.189
1,Almond,0.192,0.183
1,Almond,0.195,0.184
1,Almond,0.199,0.188
1,Almond,0.188,0.181
1,Almond,0.181,0.173
1,Almond,0.134,0.132
1,Almond,0.132,0.129
1,Almond,0.146,0.144
1,Almond,0.178,0.170
1,Almond,0.184,0.176
1,Almond,0.182,0.174
1,Almond,0.184,0.176
1,Almond,0.180,0.173
1,Almond,0.186,0.177
1,Almond,0.184,0.176
1,Almond,0.188,0.178
1,Almond,0.184,0.176
1,Almond,0.185,0.177
1,Almond,0.187,0.178
1,Almond,0.184,0.177
1,Almond,0.188,0.179
1,Almond,0.186,0.178
1,Almond,0.184,0.176
1,Almond,0.184,0.175
1,Almond,0.181,0.174
1,Almond,0.187,0.178
1,Almond,0.188,0.179
1,Almond,0.189,0.178
1,Almond,0.182,0.174
1,Almond,0.140,0.137
1,Almond,0.143,0.139
1,Almond,0.140,0.136
1,Almond,0.147,0.142
1,Almond,0.164,0.156
1,Almond,0.171,0.165
1,Almond,0.175,0.167
1,Almond,0.175,0.169
1,Almond,0.179,0.172
1,Almond,0.180,0.174
1,Almond,0.182,0.175
1,Almond,0.182,0.174
1,Almond,0.190,0.182
1,Almond,0.190,0.182
1,Almond,0.190,0.180
1,Almond,0.183,0.176
1,Almond,0.186,0.178
1,Almond,0.183,0.176
1,Almond,0.188,0.179
1,Almond,0.182,0.174
1,Almond,0.190,0.180
1,Almond,0.178,0.171
1,Almond,0.185,0.175
1,Almond,0.176,0.169
1,Almond,0.180,0.172
1,Almond,0.176,0.170
1,Almond,0.183,0.173
1,Almond,0.176,0.168
1,Almond,0.185,0.174
1,Almond,0.175,0.167
1,Almond,0.179,0.169
1,Almond,0.172,0.163
1,Almond,0.177,0.167
1,Almond,0.175,0.166
1,Almond,0.179,0.168
1,Almond,0.175,0.166
1,Almond,0.177,0.169
1,Almond,0.175,0.168
1,Almond,0.178,0.170
1,Almond,0.175,0.167
1,Almond,0.178,0.170
1,Almond,0.171,0.165
1,Almond,0.176,0.169
1,Almond,0.161,0.156
1,Almond,0.144,0.140
1,Almond,0.142,0.138
1,Almond,0.149,0.145
1,Almond,0.159,0.154
1,Almond,0.164,0.158
1,Almond,0.168,0.161
1,Almond,0.171,0.164
1,Almond,0.175,0.168
1,Almond,0.176,0.169
1,Almond,0.179,0.171
1,Almond,0.166,0.159
1,Almond,0.143,0.140
1,Almond,0.136,0.133
1,Almond,0.137,0.134
1,Almond,0.160,0.155
1,Almond,0.171,0.166
1,Almond,0.171,0.164
1,Almond,0.178,0.171
1,Almond,0.178,0.171
1,Almond,0.174,0.168
1,Almond,0.183,0.174
1,Almond,0.177,0.170
1,Almond,0.183,0.175
1,Almond,0.180,0.172
1,Almond,0.183,0.174
1,Almond,0.180,0.172
1,Almond,0.182,0.174
1,Almond,0.180,0.172
1,Almond,0.188,0.178
1,Almond,0.182,0.173
1,Almond,0.189,0.179
1,Almond,0.183,0.173
1,Almond,0.186,0.176
1,Almond,0.185,0.174
1,Almond,0.180,0.170
1,Almond,0.154,0.146
1,Almond,0.141,0.138
1,Almond,0.140,0.136
