person_id,eye_type,ear_value_left,ear_value_right
1,Almond,0.179,0.197
1,Almond,0.185,0.181
1,Almond,0.206,0.193
1,Almond,0.207,0.200
1,Almond,0.217,0.191
1,Almond,0.208,0.193
1,Almond,0.191,0.167
1,Almond,0.208,0.195
1,Almond,0.218,0.191
1,Almond,0.233,0.209
1,Almond,0.235,0.221
1,Almond,0.246,0.235
1,Round,0.283,0.272
1,Round,0.288,0.273
1,Almond,0.206,0.204
1,Almond,0.248,0.239
1,Almond,0.217,0.206
1,Almond,0.216,0.210
1,Almond,0.221,0.205
1,Almond,0.232,0.220
1,Round,0.252,0.244
1,Round,0.291,0.279
1,Round,0.287,0.267
1,Round,0.328,0.309
1,Round,0.366,0.321
1,Round,0.383,0.350
1,Round,0.363,0.319
1,Round,0.356,0.319
1,Round,0.349,0.311
1,Round,0.357,0.320
1,Round,0.340,0.302
1,Round,0.368,0.331
1,Round,0.367,0.327
1,Round,0.368,0.324
1,Round,0.367,0.332
1,Round,0.356,0.320
1,Round,0.371,0.327
1,Round,0.350,0.302
1,Round,0.380,0.331
1,Round,0.375,0.327
1,Round,0.359,0.313
1,Round,0.368,0.320
1,Round,0.336,0.295
1,Round,0.340,0.298
1,Round,0.331,0.287
1,Round,0.331,0.284
1,Round,0.329,0.285
1,Round,0.335,0.292
1,Round,0.318,0.281
1,Round,0.342,0.299
1,Round,0.330,0.289
1,Round,0.335,0.294
1,Round,0.323,0.284
1,Round,0.340,0.297
1,Round,0.292,0.255
1,Round,0.301,0.272
1,Round,0.299,0.268
1,Round,0.283,0.248
1,Round,0.307,0.261
1,Round,0.309,0.277
1,Round,0.302,0.261
1,Round,0.340,0.303
1,Round,0.338,0.298
1,Round,0.336,0.303
1,Round,0.325,0.289
1,Round,0.344,0.314
1,Round,0.323,0.294
1,Round,0.334,0.306
1,Round,0.334,0.304
1,Round,0.375,0.349
1,Round,0.369,0.345
1,Round,0.372,0.351
1,Round,0.265,0.257
1,Almond,0.249,0.242
1,Almond,0.238,0.229
